lang;description;id;powercode_de;geometry
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";1;Mittel;POINT (2688674 1211488)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Sehr Klein
</td></tr>
</table>";2;Sehr Klein;POINT (2666065 1214355)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";3;Mittel;POINT (2722651 1271244)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";4;Mittel;POINT (2570323 1164067)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Klein
</td></tr>
</table>";5;Klein;POINT (2613427 1262637)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Gross
</td></tr>
</table>";6;Gross;POINT (2630451 1235678)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";7;Mittel;POINT (2655718 1271510)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Gross
</td></tr>
</table>";8;Gross;POINT (2496384 1119697)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";9;Mittel;POINT (2639748 1232218)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";10;Mittel;POINT (2539745 1153175)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";11;Mittel;POINT (2756912 1218229)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";12;Mittel;POINT (2611017 1115093)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";13;Mittel;POINT (2736957 1260651)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Gross
</td></tr>
</table>";14;Gross;POINT (2645961 1248877)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";15;Mittel;POINT (2762389 1251496)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";16;Mittel;POINT (2683770 1251020)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";17;Mittel;POINT (2561097 1101925)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Gross
</td></tr>
</table>";18;Gross;POINT (2615520 1173928)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";19;Mittel;POINT (2663812 1198735)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";20;Mittel;POINT (2561857 1190681)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";21;Mittel;POINT (2528794 1163382)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";22;Mittel;POINT (2683463 1248296)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";23;Mittel;POINT (2597837 1202639)
de;"<table>
<tr><td class=\""cell-left\"">
Sendeleistung (ERP)
</td><td>
Mittel
</td></tr>
</table>";24;Mittel;POINT (2549393 1150137)
